NPC;+PRICE;39;0;5948.536;Astrox Security Patrol;Kilotorish;1h 49m 22s ;6562.842
NPC;+STOCK;52;4;4312.453;Biomate University;Void Starcross;3h 11m 8s ;11468.65
NPC;+STOCK;17;3;3719.051;Lammassu Financial;Void Starcross;3h 11m 8s ;11468.65
NPC;+STOCK;44;3;3281.236;StarShepards Headquarters;Void Starcross;3h 11m 8s ;11468.65
NPC;+STOCK;15;4;4238.815;Starbase Corporate Center;Void Starcross;3h 11m 8s ;11468.65
NPC;+STOCK;53;4;6220.87;Proctors Center;Void Starcross;3h 11m 8s ;11468.65
NPC;-QTY;4;-2;6505.313;Rendo Labs;Entropy;6h 0m 59s ;21659.03
NPC;+PRICE;3;0;3438.132;CoraVault Hub;Pindoris;6h 14m 52s ;22492.41
NPC;+PRICE;2;0;5078.938;Horizons;Gate of Alpharis;7h 13m 39s ;26019.77
