NPC;+QTY;217;110;13.90625;Xellon;Ele;0h 50m 9s ;3009.769
NPC;+QTY;311;120;8.421875;Foodmaid;Daelus;0h 50m 9s ;3009.769
NPC;-PRICE;16;0;4.943095;Mazu Starship;Enoch Estates;0h 56m 50s ;3410.242
NPC;-PRICE;232;0;8.860777;Holosynth Industries;Rats Of Mortalis;0h 56m 50s ;3410.242
NPC;+STOCK;215;125;5.990031;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;482;122;10.84913;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+QTY;99;98;8.546875;Gunstellar;Adrenal;2h 29m 20s ;8960.865
NPC;+QTY;583;114;11.07734;Cecil;Junia;2h 29m 20s ;8960.865
NPC;-QTY;0;-53;8.921875;Void Raiders;Corbis Almuni;4h 11m 42s ;15102.06
NPC;+STOCK;359;144;5.483589;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;603;121;10.54535;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;194;133;6.497467;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;0;-61;7.046875;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;156;-123;9.573811;Blargg's;Beacon Spita;4h 40m 21s ;16821.04
NPC;+QTY;498;139;5.53125;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+LOCAL;150;464;4.0625;Acrondia Hub;Temple Gates;4h 47m 52s ;17272.47
NPC;+PRICE;436;0;15.69859;Janca Refinery;Canndelis;4h 52m 11s ;17531.62
NPC;+PRICE;99;0;8.951012;Gunstellar;Adrenal;5h 41m 50s ;20510.81
NPC;+PRICE;148;0;10.94523;Dustardz;Redsky;5h 41m 50s ;20510.81
NPC;+LOCAL;150;746;4.0625;Lammassu Financial;Void Starcross;6h 4m 29s ;21869.14
NPC;+QTY;400;89;8.421875;Foodmaid;Daelus;6h 44m 29s ;24269.91
NPC;+QTY;271;121;1.40625;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;+PRICE;305;0;9.000835;Valuestar Hub;Jelumus;9h 36m 0s ;34560.29
NPC;+PRICE;16;0;5.462575;Mazu Starship;Enoch Estates;9h 36m 0s ;34560.29
NPC;+QTY;752;149;10.52789;StarGypsy Warehouse;Void Starcross;10h 9m 19s ;36559.19
NPC;+PRICE;0;0;9.320937;Void Raiders;Corbis Almuni;11h 3m 47s ;39827.63
NPC;+STOCK;420;149;1.398438;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;875;123;9.943015;StarGypsy Warehouse;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;131;131;6.65471;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;-PRICE;280;0;9.554626;Imperium Republica ;Gate of Alpharis;12h 34m 48s ;45288.88
NPC;-PRICE;94;0;12.95764;Genistar;Blades of Dandrow;12h 34m 48s ;45288.88
NPC;+STOCK;569;149;1.400781;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;121;121;6.81904;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;99;0;9.125948;Gunstellar;Adrenal;14h 10m 55s ;51055.01
NPC;+PRICE;37;0;12.24472;PharmaLife;Carioullis;14h 10m 55s ;51055.01
NPC;BAL;317;-83;8.595626;Foodmaid;Daelus;14h 12m 27s ;51147.38
NPC;+PRICE;436;0;15.83152;Janca Refinery;Canndelis;15h 8m 41s ;54521.68
NPC;+PRICE;583;0;11.6428;Cecil;Junia;15h 48m 23s ;56903.07
NPC;+LOCAL;150;56;4.0625;Acrondia Hub;Temple Gates;15h 53m 0s ;57180.42
NPC;+LOCAL;150;137;4.0625;Lammassu Financial;Void Starcross;16h 1m 52s ;57712.91
NPC;+LOCAL;150;90;4.0625;Lammassu Financial;Void Starcross;16h 45m 26s ;60326.67
NPC;+PRICE;150;0;1.811214;Lammassu Financial;Void Starcross;16h 46m 45s ;60405.14
NPC;+LOCAL;150;197;4.0625;Acrondia Hub;Temple Gates;18h 6m 36s ;65196.63
NPC;BAL;201;-101;12.14637;Oak Industries;Dorando Corridor;18h 20m 20s ;66020.74
NPC;BAL;45;0;9.135722;Rendo Labs;Entropy;18h 20m 20s ;66020.74
NPC;+QTY;269;94;12.01766;Tella's;Bitcola;18h 20m 21s ;66021.78
NPC;+QTY;98;96;8.642656;Blissheads;Estura Cove;18h 20m 21s ;66021.78
