NPC;+QTY;17;2;1548317;Transporteers Hub;Ambervellis Drea;2h 29m 43s ;8983.031
NPC;-QTY;93;-1;1057214;Starbase Corporate Center;Void Starcross;2h 51m 54s ;10314.01
NPC;+STOCK;346;2;1753029;StarGypsy Warehouse;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;442;2;1259624;StarShepards Headquarters;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;95;2;999037.3;Starbase Corporate Center;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;338;2;1921679;Proctors Center;Void Starcross;5h 37m 58s ;20278.19
NPC;BAL;336;-2;1784246;Proctors Center;Void Starcross;5h 52m 15s ;21135.14
NPC;+PRICE;440;0;1365133;StarShepards Headquarters;Void Starcross;6h 48m 22s ;24502.02
NPC;+PRICE;0;99;1250322;StarShepards Headquarters;Void Starcross;6h 48m 22s ;24502.02
NPC;-QTY;166;-1;1261182;Valuestar Hub;Jelumus;7h 45m 51s ;27951.11
NPC;-PRICE;123;0;1461353;Oak Industries;Dorando Corridor;10h 29m 28s ;37768.82
NPC;-PRICE;123;0;1424178;Oak Industries;Dorando Corridor;10h 29m 28s ;37768.82
NPC;+QTY;168;2;1251831;Valuestar Hub;Jelumus;11h 28m 0s ;41280.14
NPC;+STOCK;442;2;1294836;StarShepards Headquarters;Void Starcross;12h 8m 53s ;43733.04
NPC;+STOCK;348;2;1703584;StarGypsy Warehouse;Void Starcross;12h 11m 36s ;43896.82
