NPC;+PRICE;79;0;40464.55;Medicore University;Cliffs of Drameria;0h 13m 58s ;838.7362
NPC;-QTY;3;-9;37298.04;Transporteers;Hunu;6h 57m 24s ;25044.14
NPC;+STOCK;12;11;18849.27;Oro Omniplex Center;Merces Academy;7h 18m 7s ;26287.49
NPC;+STOCK;112;11;19570.81;Proctors Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+LOCAL;8;1;36255.1;Blargg's;Beacon Spita;12h 24m 57s ;44697.23
NPC;+LOCAL;12;53;9555;Proctors Center;Void Starcross;14h 45m 0s ;53100.76
NPC;+LOCAL;12;20;9555;Blargg's;Beacon Spita;14h 47m 4s ;53224.33
NPC;+LOCAL;12;47;9555;Proctors Center;Void Starcross;19h 40m 55s ;70855.4
NPC;+STOCK;22;10;9941.794;Proctors Center;Void Starcross;19h 47m 17s ;71237.8
